FID,OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
1208,1196,10006864,CLAY COUNTY JAIL,215 WEST GILBERT STREET,HENRIETTA,TX,76365,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,22,CLAY,48077,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.sheriff.co.clay.tx.us/, https://www.tcjs.state.tx.us/index.php?linkID=325",3/1/2018,IMAGERY,2018/04/26 00:00:00,https://www.sheriff.co.clay.tx.us/,NOT AVAILABLE,38,0.00154273634668,189.468245118917,1.19170052396e-07
1209,1197,10000009,EASTERN REGIONAL JAIL,94 GRAPEVINE ROAD,MARTINSBURG,WV,25405,NOT AVAILABLE,(304) 267-0046,COUNTY,OPEN,392,BERKELEY,54003,USA,922140,CORRECTIONAL INSTITUTIONS,http://rja.wv.gov/Pages/About-Us.aspx,1/22/2018,IMAGERY,2018/01/22 00:00:00,http://rja.wv.gov/facilityinfo/Pages/default.aspx,NOT AVAILABLE,500,0.00716535565828,900.811822045016,1.98605405008e-06
1210,1198,10005831,MARYLAND  HOUSE OF CORRECTION - JESSUP,"P O BOX 549, HOUSE OF CORRECTION RD",JESSUP,MD,20794,NOT AVAILABLE,NOT AVAILABLE,STATE,CLOSED,0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.washingtonpost.com/wp-dyn/content/article/2007/03/18/AR2007031800137.html,4/1/2014,IMAGERY/OTHER,2017/12/05 00:00:00,NOT AVAILABLE,MEDIUM,1068,0.00980694467783,1218.83024827625,4.95374382932e-06
1211,1199,10001553,CENTRAL HOME DETENTION UNIT,2100 GUILFORD AVE,BALTIMORE,MD,21218,NOT AVAILABLE,(443) 263-3800,STATE,OPEN,192,BALTIMORE CITY,24510,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,6/30/2016,IMAGERY,2017/12/05 00:00:00,http://www.dpscs.maryland.gov/locations/prisons.shtml,NOT AVAILABLE,-999,0.00271532248938,352.906466461176,3.19275237138e-07
1212,1200,10003607,DAKOTA WOMEN'S CORRECTIONAL AND REHABILITATION CENTER,440 MCKENZIE ST,NEW ENGLAND,ND,58647,NOT AVAILABLE,(701) 579-5100,STATE,OPEN,113,HETTINGER,38041,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.nd.gov/docr/media/stats.html, http://www.nd.gov/docr/adult/",12/31/2016,IMAGERY,2017/12/13 00:00:00,http://www.nd.gov/docr/adult/,MINIMUM,126,0.00744382487846,1088.32871430862,2.18935681187e-06
1213,1605,10006549,MINNESOTA SECURITY HOSPITAL,100 FREEMAN DRIVE,ST. PETER,MN,56082,1599,(507) 985-2000,STATE,OPEN,369,NICOLLET,27103,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.twincities.com/2017/04/07/big-bucks-needed-to-solve-security-hospital-problems/,4/8/2017,IMAGERY,2017/12/07 00:00:00,http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=id_000261,NOT AVAILABLE,-999,0.00957226099185,1237.65578953659,4.04245960511e-06
1214,1606,10006606,SOUTHERN TRANSITIONAL,800A BUFFALO AVENUE,EGG HARBOR,NJ,08215,NOT AVAILABLE,(609) 965-5200,STATE,OPEN,15,ATLANTIC,34001,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nj.gov/oag/jjc/prea.html,3/10/2016,IMAGERY/OTHER,2017/12/18 00:00:00,http://www.nj.gov/oag/jjc/residential_community_list.html,JUVENILE,32,0.00286601253136,359.432301396095,2.75470920955e-07
1215,1209,10002617,CENTRAL UTAH CORRECTIONAL FACILITY,255 E 300 N ST,GUNNISON,UT,84634,NOT AVAILABLE,(435) 528-6000,STATE,OPEN,1700,SANPETE,49039,USA,922140,CORRECTIONAL INSTITUTIONS,"https://crbiprod.utah.gov/cognos10/cgi-bin/cognos.cgi?b_action=xts.run&m=portal/cc.xts&gohome=, https://corrections.utah.gov/",1/17/2018,IMAGERY,2018/01/17 00:00:00,https://corrections.utah.gov/,MAXIMUM,1600,0.025579986517,3190.70183830968,2.76898990689e-05
1216,1607,10001618,CREMER THERAPEUTIC COMMUNITY CENTER,689 ROUTE O,FULTON,MO,65251,NOT AVAILABLE,(573) 592-4013,STATE,OPEN,174,CALLAWAY,29027,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,4/14/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MINIMUM,180,0.00386513159361,467.943155121035,4.95867331526e-07
1217,1608,10001598,DEERFIELD WORK CENTER FOR MEN,15172 OLD BELFIELD RD,CAPRON,VA,23829,NOT AVAILABLE,(434) 658-4368,STATE,OPEN,199,SOUTHAMPTON,51175,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,6/15/2017,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MINIMUM,216,0.00647102558794,791.129439399416,2.24538190695e-06
1218,1609,10003324,DEERFIELD CORRECTIONAL CENTER,21360 DEERFIELD DR,CAPRON,VA,23829,NOT AVAILABLE,(434) 658-4368,STATE,OPEN,1059,SOUTHAMPTON,51175,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,4/27/2017,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MEDIUM,1080,0.0149153892001,1779.6268493562,9.34383732129e-06
1219,1610,10003845,JACKSON COUNTY JAIL-WESLEY STREET,212 W WESLEY ST,JACKSON,MI,49201,NOT AVAILABLE,(517) 768-7900,COUNTY,OPEN,-999,JACKSON,26075,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.jackson.mi.us/167/Sheriff,3/20/2018,IMAGERY,2018/03/20 00:00:00,https://www.co.jackson.mi.us/167/Sheriff,NOT AVAILABLE,200,0.00324330437871,399.350041585937,4.38607433319e-07
1220,1611,10002010,NORTHWESTERN MINNESOTA JUVENILE CENTER,1231 5TH STREET NORTHWEST,BEMIDJI,MN,56601,NOT AVAILABLE,(218) 751-3196,LOCAL,OPEN,58,BELTRAMI,27007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nmjconline.org/index.php,12/7/2017,IMAGERY,2017/12/07 00:00:00,http://www.nmjconline.org/index.php,JUVENILE,65,0.00428330361735,588.552599531914,9.58085707517e-07
1221,1612,10001630,POTOSI CORRECTIONAL CENTER,11593 STATE HWY O,MINERAL POINT,MO,63660,NOT AVAILABLE,(573) 438-6000,STATE,OPEN,-999,WASHINGTON,29221,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,3/26/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MAXIMUM,852,0.0154060442101,1904.17517306778,1.34171982771e-05
1222,1613,10001608,CROSSROADS CORRECTIONAL CENTER,1115 E PENCE RD,CAMERON,MO,64429,NOT AVAILABLE,(816) 632-2727,STATE,OPEN,1463,DEKALB,29063,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,1/14/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MAXIMUM,1400,0.0133832348558,1699.44497827469,1.28633914223e-05
1223,1614,10004065,EASTERN RECEPTION DIAGNOSTIC / CORRECTIONAL CTR,2727 HWY K,BONNE TERRE,MO,63628,NOT AVAILABLE,(573) 358-5516,STATE,OPEN,2986,ST. FRANCOIS,29187,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2017.php,6/14/2017,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MAXIMUM,3100,0.017175539914,2140.27478323727,1.98818309e-05
1224,1615,10001631,FARMINGTON CORRECTIONAL CENTER,1012 W COLUMBIA ST,FARMINGTON,MO,63640,NOT AVAILABLE,(573) 218-7100,STATE,OPEN,2622,ST. FRANCOIS,29187,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2017.php,3/24/2017,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MEDIUM,2655,0.0299701131445,3673.92145156685,4.00645396542e-05
1225,1616,10001617,FULTON RECEPTION AND DIAGNOSTIC CENTER,1393 HWY O,FULTON,MO,65251,NOT AVAILABLE,(573) 592-4040,STATE,OPEN,1400,CALLAWAY,29027,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,4/16/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MINIMUM,1302,0.0154765813282,1899.30099460482,1.521848225e-05
1226,1617,10001626,JEFFERSON CITY CORRECTIONAL CENTER,8200 NO MORE VICTIMS RD,JEFFERSON CITY,MO,65101,NOT AVAILABLE,(573) 751-3224,STATE,OPEN,1941,COLE,29051,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2017.php,2/28/2017,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MAXIMUM,2052,0.0178056781729,2249.85903132004,1.92359761224e-05
1227,1618,10001606,MARYVILLE TREATMENT CENTER,30227 US HWY 136,MARYVILLE,MO,64468,NOT AVAILABLE,(660) 582-6542,STATE,OPEN,520,NODAWAY,29147,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,5/7/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MINIMUM,525,0.0107362661764,1344.4169085309,3.95904413531e-06
1228,1619,10000941,MOBERLY CORRECTIONAL CENTER,5201 SOUTH MORLEY ST,MOBERLY,MO,65270,NOT AVAILABLE,(660) 263-3778,STATE,OPEN,1790,RANDOLPH,29175,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,7/16/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MEDIUM,1800,0.0210262068407,2607.76519024578,2.58601839439e-05
1229,1620,10000942,TIPTON CORRECTIONAL CENTER,619 N OSAGE AVE,TIPTON,MO,65081,NOT AVAILABLE,(660) 433-2031,STATE,OPEN,1225,MONITEAU,29135,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,7/9/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MINIMUM,1222,0.0161447917219,2111.91861741277,1.38079234746e-05
1230,1621,10000923,DILLWYN CORRECTIONAL CENTER,1522 PRISON RD,DILLWYN,VA,23936,NOT AVAILABLE,(434) 983-4200,STATE,OPEN,917,BUCKINGHAM,51029,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,9/19/2017,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MEDIUM,933,0.0162639635148,1996.62774981418,1.71636579162e-05
1231,1622,10006721,MONROE COUNTY KEY WEST DETENTION CENTER,5501 COLLEGE ROAD,KEY WEST,FL,33040,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,MONROE,12087,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.keysso.net/jail/detention_center_index.htm,2/21/2018,IMAGERY,2018/02/21 00:00:00,https://www.keysso.net/jail/detention_center_index.htm,NOT AVAILABLE,596,0.00536212665631,630.171484094428,1.04286516387e-06
1232,1623,10005764,NYE COUNTY JAIL - SOUTH AREA COMMAND,1520 E BASIN ROAD,PAHRUMP,NV,89060,NOT AVAILABLE,(775) 751-7027,COUNTY,OPEN,-999,NYE,32023,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nyecounty.net/109/Sheriff,4/9/2018,IMAGERY,2018/04/09 00:00:00,http://www.nyecountysheriffsoffice.com/home.html,NOT AVAILABLE,-999,0.00412528587637,517.552934211901,6.83297565692e-07
1233,1624,10002927,JUDGE RICARDO H GARCIA REGIONAL JUVENILE DETENTION CENTER,599 S FM 1329,SAN DIEGO,TX,78384,NOT AVAILABLE,(361) 279-2040,COUNTY,OPEN,28,DUVAL,48131,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.co.duval.tx.us/default.aspx?name=Juvenile.Facility, http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=",7/29/2016,IMAGERY,2018/04/26 00:00:00,http://www.co.duval.tx.us/default.aspx?name=Juvenile.Facility,JUVENILE,50,0.00243113341416,289.532908702319,3.41217873687e-07
1234,1625,10001612,"WESTERN RECEPTION, DIAGNOSTIC / CORRECTIONAL CTR",3401 FARAON ST,ST. JOSEPH,MO,64506,NOT AVAILABLE,(816) 387-2158,STATE,OPEN,2051,BUCHANAN,29021,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,10/10/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MINIMUM,1968,0.0165561908948,2018.29209151967,1.41107915429e-05
1235,1626,10004926,DEARBORN COUNTY LAW ENFORCEMENT CENTER,301 W HIGH ST,LAWRENCEBURG,IN,47025,NOT AVAILABLE,(812) 537-8700,COUNTY,OPEN,333,DEARBORN,18029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dearborncountysheriff.org/,3/5/2018,IMAGERY,2018/03/05 00:00:00,http://www.dearborncountysheriff.org/,NOT AVAILABLE,200,0.00181190636097,227.875803138056,2.26362046558e-07
1236,1627,10006607,VINELAND PREPARATORY ACADEMY,2000 MAPLE AVENUE,VINELAND,NJ,08361,NOT AVAILABLE,(856) 696-6624,STATE,OPEN,20,CUMBERLAND,34011,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nj.gov/oag/jjc/prea.html,3/10/2016,IMAGERY,2017/12/18 00:00:00,http://www.nj.gov/oag/jjc/residential_community_list.html,JUVENILE,60,0.00411097409618,534.128401762506,9.73091239776e-07
1237,1628,10001615,"WOMEN'S EASTERN RECEPTION, DIAGNOSTIC / CORRECTIONAL CENTER",1101 E HWY 54,VANDALIA,MO,63382,NOT AVAILABLE,(573) 594-6686,STATE,OPEN,1767,AUDRAIN,29007,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2016.php,5/6/2016,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/DAI/Institutional_Facilities.php,MAXIMUM,1560,0.0171065522407,2109.43470136561,1.60441009213e-05
1238,1629,10003268,FLUVANNA CORRECTIONAL CENTER FOR WOMEN,144 PRISON LANE,TROY,VA,22974,NOT AVAILABLE,(434) 984-3700,STATE,OPEN,1181,FLUVANNA,51065,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,9/27/2017,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MAXIMUM,1315,0.0129400591703,1665.47872618771,1.00499222658e-05
1239,1630,10003310,GREEN ROCK CORRECTIONAL CENTER,475 GREEN ROCK LANE,CHATHAM,VA,24531,NOT AVAILABLE,(434) 797-2000,STATE,OPEN,1030,PITTSYLVANIA,51143,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,12/1/2014,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,CLOSE,1038,0.0108369080449,1343.50092894083,7.89683916522e-06
1240,1631,10003327,GREENSVILLE CORRECTIONAL CENTER,901 CORRECTIONS WAY,JARRATT,VA,23870,9614,(434) 535-7000,STATE,OPEN,2976,GREENSVILLE,51081,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,1/19/2018,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,CLOSE,-999,0.0225151136101,2778.37920173003,3.50676243209e-05
1241,1632,10001603,GREENSVILLE WORK CENTER,901 CORRECTIONS WAY,JARRATT,VA,23870,9614,(434) 535-7000,STATE,OPEN,210,GREENSVILLE,51081,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,1/19/2018,IMAGERY/OTHER,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MINIMUM,-999,0.00495835313459,609.868928711866,1.50212325696e-06
1242,1633,10001895,SUBLETTE COUNTY DETENTION CENTER,35 1/2 S TYLER AVE,PINEDALE,WY,82941,NOT AVAILABLE,(307) 367-4378,COUNTY,OPEN,-999,SUBLETTE,56035,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sublettewyo.com/index.aspx?NID=139,5/11/2018,IMAGERY,2018/05/11 00:00:00,NOT AVAILABLE,NOT AVAILABLE,52,0.00371681994081,468.57551268432,3.83069876792e-07
1243,1634,10004925,DEARBORN COUNTY JUVENILE DETENTION CENTER,219 W HIGH ST,LAWRENCEBURG,IN,47025,NOT AVAILABLE,(812) 537-8740,COUNTY,OPEN,7,DEARBORN,18029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.in.gov/idoc/dys/2481.htm,3/5/2018,IMAGERY,2018/03/05 00:00:00,NOT AVAILABLE,JUVENILE,20,0.00122095216708,152.081702017731,7.16051968544e-08
1244,1635,10001887,TETON COUNTY DETENTION CENTER,175 S WILLOW ST,JACKSON,WY,83001,NOT AVAILABLE,(307) 733-2141,COUNTY,OPEN,10,TETON,56039,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tetonsheriff.org/,5/11/2018,IMAGERY,2018/05/11 00:00:00,http://www.tetonsheriff.org/,MAXIMUM,45,0.00102081739039,136.232632200062,6.49543626456e-08
1245,1636,10001889,WASHAKIE COUNTY JAIL,100 N 10TH ST,WORLAND,WY,82401,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,WASHAKIE,56043,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.washakiecounty.net/sheriff,5/11/2018,IMAGERY,2018/05/11 00:00:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00253838854674,332.643245310039,2.60567373691e-07
1246,1637,10006550,ST. JOSEPH COMMUNITY SUPERVISION CENTER,3305 FARAON STREET,ST. JOSEPH,MO,64506,NOT AVAILABLE,(816) 271-3131,STATE,OPEN,29,BUCHANAN,29021,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2016.php,6/28/2016,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/Facilities.php,NOT AVAILABLE,30,0.00256662096169,322.202260182821,2.68668135723e-07
1247,1638,10006608,VOORHEES RESIDENTIAL COMMUNITY HOME,201 ROUTE 513,GLEN GARDNER,NJ,08826,NOT AVAILABLE,(908) 638-4625,STATE,OPEN,19,HUNTERDON,34019,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nj.gov/oag/jjc/prea.html,4/1/2015,IMAGERY/OTHER,2017/12/18 00:00:00,http://www.nj.gov/oag/jjc/residential_community_list.html,JUVENILE,27,0.00598728422698,728.788983249632,1.6017162214e-06
1248,1639,10003262,HAYNESVILLE CORRECTIONAL CENTER,421 BARNFIELD RD,HAYNESVILLE,VA,22472,NOT AVAILABLE,(804) 333-3577,STATE,OPEN,942,RICHMOND,51159,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,10/22/2015,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MEDIUM,938,0.0167773676501,2070.14829543899,1.73400075348e-05
1249,1640,10006235,MONROE COUNTY MARATHON DETENTION FACILITY,3981 OCEAN TERRACE,MARATHON,FL,33050,NOT AVAILABLE,(305) 289-2420,COUNTY,OPEN,40,MONROE,12087,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.keysso.net/jail/detention_center_index.htm,2/21/2018,UNVERIFIED,2018/02/21 00:00:00,https://www.keysso.net/jail/detention_center_index.htm,NOT AVAILABLE,52,0.00130444324121,153.629480217924,1.0020504888e-07
1250,1641,10005625,DECATUR COUNTY JAIL,119 EAST RAILROAD STREET,GREENSBURG,IN,47240,NOT AVAILABLE,(812) 663-8125,COUNTY,OPEN,-999,DECATUR,18031,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.decaturcountysheriff.com/index.html,3/5/2018,IMAGERY,2018/03/05 00:00:00,http://www.decaturcountysheriff.com/index.html,NOT AVAILABLE,-999,0.00215065846851,266.564339855737,2.39286473967e-07
1251,1642,10003263,HAYNESVILLE CORRECTIONAL UNIT #17,CAMP SEVENTEEN RD,HAYNESVILLE,VA,22472,NOT AVAILABLE,(804) 333-3577,STATE,OPEN,111,RICHMOND,51159,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,10/21/2015,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MINIMUM,114,0.00655181799312,812.973593707675,1.81513613498e-06
1252,1643,10006234,MONROE COUNTY PLANTATION KEY DETENTION FACILITY,53 HIGH POINT ROAD,PLANTATION KEY,FL,33070,NOT AVAILABLE,(305) 853-3266,COUNTY,OPEN,37,MONROE,12087,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.keysso.net/jail/detention_center_index.htm,2/21/2018,IMAGERY,2018/02/21 00:00:00,https://www.keysso.net/jail/detention_center_index.htm,NOT AVAILABLE,47,0.00203010753798,237.016166435302,2.14893238064e-07
1253,1644,10002782,EASTLAND COUNTY JAIL,201 W WHITE,EASTLAND,TX,76448,NOT AVAILABLE,(254) 629-3298,COUNTY,OPEN,39,EASTLAND,48133,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.eastlandcountytexas.com/page/eastland.Sheriff",3/1/2018,IMAGERY,2018/04/26 00:00:00,NOT AVAILABLE,NOT AVAILABLE,97,0.00246527396442,298.024424478612,2.78977524932e-07
1254,1645,10005604,DEKALB COUNTY JAIL,215 EAST 8TH STREET,AUBURN,IN,46706,NOT AVAILABLE,(815) 895-2155,COUNTY,OPEN,-999,DEKALB,18033,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.dekalb.in.us/department/index.php?structureid=32,3/5/2018,IMAGERY,2018/03/05 00:00:00,http://www.co.dekalb.in.us/department/index.php?structureid=32,NOT AVAILABLE,-999,0.0029179921925,356.459458699082,3.54191710938e-07
1255,1646,10006551,HANNIBAL COMMUNITY SUPERVISION CENTER,2002 WARREN BARRET DRIVE,HANNIBAL,MO,63401,NOT AVAILABLE,(573) 248-2450,STATE,OPEN,27,MARION,29127,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,8/13/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/Facilities.php,NOT AVAILABLE,50,0.00248496372505,308.469520600163,2.69993294722e-07
1256,1647,10000054,WESTON COUNTY DETENTION CENTER,25 N SUMNER AVE,NEWCASTLE,WY,82701,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,WESTON,56045,USA,922140,CORRECTIONAL INSTITUTIONS,http://westongov.com/_departments/_county_sheriff/index.asp,5/11/2018,IMAGERY,2018/05/11 00:00:00,NOT AVAILABLE,NOT AVAILABLE,38,0.00158402137595,204.180669710624,1.25914268637e-07
1257,1648,10006552,FARMINGTON COMMUNITY SUPERVISION CENTER,1430 DOUBET ROAD,FARMINGTON,MO,63640,NOT AVAILABLE,(573) 218-5006,STATE,OPEN,27,ST. FRANCOIS,29187,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2015.php,8/10/2015,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/Facilities.php,NOT AVAILABLE,30,0.00252091801329,312.522988109066,2.63674480114e-07
1258,1649,10006609,WARREN RESIDENTIAL COMMUNITY HOME,509 BRASS CASTLE ROAD,OXFORD,NJ,07863,NOT AVAILABLE,(908) 453-2032,STATE,OPEN,27,WARREN,34041,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nj.gov/oag/jjc/prea.html,4/2/2015,IMAGERY/OTHER,2017/12/18 00:00:00,http://www.nj.gov/oag/jjc/residential_community_list.html,JUVENILE,30,0.00284560826277,359.607413150881,4.92545571068e-07
1259,1650,10000924,INDIAN CREEK CORRECTIONAL CENTER,801 SANDERSON RD,CHESAPEAKE,VA,23328,6481,(757) 421-0095,STATE,OPEN,1000,CHESAPEAKE,51550,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,6/23/2015,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,MEDIUM,1008,0.0167108046219,2032.34153508958,1.70998768576e-05
1260,1651,10001244,WESTERN NM CORRECTIONAL FACILITY,2111 LOBO CANYON RD,GRANTS,NM,87020,NOT AVAILABLE,(505) 876-8300,STATE,OPEN,357,CIBOLA,35006,USA,922140,CORRECTIONAL INSTITUTIONS,"http://cd.nm.gov/prea/prea.html, http://cd.nm.gov/apd/facilities.html",4/30/2015,IMAGERY,2017/12/18 00:00:00,http://cd.nm.gov/apd/facilities.html,CLOSE,440,0.0157429614338,1914.88916787926,9.17781650324e-06
1261,1652,10001583,KEEN MOUNTAIN CORRECTIONAL CENTER,STATE ROUTE 629,OAKWOOD,VA,24631,NOT AVAILABLE,(276) 498-7411,STATE,OPEN,723,BUCHANAN,51027,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/about/facts/,11/18/2014,IMAGERY,2018/01/19 00:00:00,https://vadoc.virginia.gov/facilities/,CLOSE,870,0.0122761621546,1538.01446371985,1.03845849586e-05
1262,1653,10003775,"PENITENTIARY OF NEW MEXICO, LEVEL II UNIT",4311 STATE HWY 14,SANTA FE,NM,87504,NOT AVAILABLE,(505) 827-8201,STATE,OPEN,191,SANTA FE,35049,USA,922140,CORRECTIONAL INSTITUTIONS,http://cd.nm.gov/apd/facilities.html,12/18/2017,IMAGERY,2017/12/18 00:00:00,http://cd.nm.gov/apd/facilities.html,MINIMUM,-999,0.00735804751601,861.724106711269,2.55768659437e-06
1263,1654,10006554,POPLAR BLUFF COMMUNITY SUPERVISION CENTER,1441 BLACK RIVER INDUSTRIAL PARK DRIVE,POPLAR BLUFF,MO,63901,NOT AVAILABLE,(573) 840-9555,STATE,OPEN,38,BUTLER,29023,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.mo.gov/OD/PREA-2016.php,7/6/2016,IMAGERY,2017/12/07 00:00:00,https://doc.mo.gov/Facilities.php,NOT AVAILABLE,30,0.00263056720587,324.107740690327,2.84031588603e-07
1264,1655,10001596,LAWRENCEVILLE CORRECTIONAL CENTER,1607 PLANTERS RD,LAWRENCEVILLE,VA,23868,NOT AVAILABLE,(434) 848-9349,STATE,OPEN,1563,BRUNSWICK,51025,USA,922140,CORRECTIONAL INSTITUTIONS,"https://vadoc.virginia.gov/about/facts/, https://www.geogroup.com/Locations",1/19/2018,IMAGERY/OTHER,2018/01/19 00:00:00,https://www.geogroup.com/Locations,MEDIUM,1536,0.0132765833083,1711.53971002593,1.17578255884e-05
